Room Name,Item Number,Product Name,Spec. Group Name,Part Name,Quantity,Width,Length,Material Name,EB Width 1,EB Length 1,EB Width 2,EB Length 2,Comments,Row_ID,Metric Default Saw,Mitre Only,Weeke,Weeke Single Part
J01 - Kitchen,1.57,Base Open End Cabinet,FN2 Black - STD,Skin,2,500,790,9mm Bending MDF Cross Cut,,,,,,669,,,X,
J01 - Kitchen,1.58,Base Open End Cabinet,FN2 Black - STD,skin,2,500,790,9mm Bending MDF Cross Cut,,,,,,432,,,X,
J01 - Kitchen,1.33,Adjustable Kick,FN2 Black - STD,Toe Kick Front,1,100,1511.6,G PT Black Woodmatt 18mm MDF - 36x18,,,,,,492,,,X,
J01 - Kitchen,1.53,Adjustable Kick,FN2 Black - STD,Toe Kick Front,1,100,1988,G PT Black Woodmatt 18mm MDF - 36x18,,,,,,661,,,X,
J01 - Kitchen,1.54,Adjustable Kick,FN2 Black - STD,Toe Kick Front,1,100,1968,G PT Black Woodmatt 18mm MDF - 36x18,,,,,,663,,,X,
J01 - Kitchen,1.55,Adjustable Kick,FN2 Black - STD,Toe Kick Front,1,100,2165,G PT Black Woodmatt 18mm MDF - 36x18,,,,,,665,,,X,
J01 - Kitchen,1.40,Base 1 Door,FN2 Black - STD,Drop Down Door,1,628.3,758,G PT Black Woodmatt 18mm MDF - 36x18,Black Woodmatt 21x 1mm,Black Woodmatt 21x 1mm,Black Woodmatt 21x 1mm,Black Woodmatt 21x 1mm,,550,,,X,
J01 - Kitchen,1.40,Base 1 Door,FN2 Black - STD,Left Finished End Panel,1,600,788,G PT Black Woodmatt 18mm MDF - 36x18,,,,Black Woodmatt 21x 1mm,,549,,,X,
J01 - Kitchen,1.40,Base 1 Door,FN2 Black - STD,Shadow Rail,1,60,614.4,G PT Black Woodmatt 18mm MDF - 36x18,,,,,,552,,,X,
J01 - Kitchen,1.50,Base 1 Drawer,FN2 Black - STD,Bottom Drawer Front,1,981,384,G PT Black Woodmatt 18mm MDF - 36x18,Black Woodmatt 21x 1mm,Black Woodmatt 21x 1mm,Black Woodmatt 21x 1mm,Black Woodmatt 21x 1mm,,628,,,X,
J01 - Kitchen,1.50,Base 1 Drawer,FN2 Black - STD,Shadow Rail,1,60,984,G PT Black Woodmatt 18mm MDF - 36x18,,,,,,632,,,X,
J01 - Kitchen,1.48,Base 1 Drawer,FN2 Black - STD,Bottom Drawer Front,1,981,384,G PT Black Woodmatt 18mm MDF - 36x18,Black Woodmatt 21x 1mm,Black Woodmatt 21x 1mm,Black Woodmatt 21x 1mm,Black Woodmatt 21x 1mm,,616,,,X,
J01 - Kitchen,1.48,Base 1 Drawer,FN2 Black - STD,Shadow Rail,1,60,984,G PT Black Woodmatt 18mm MDF - 36x18,,,,,,620,,,X,
J01 - Kitchen,1.47,Base 1 Drawer,FN2 Black - STD,Bottom Drawer Front,1,981,384,G PT Black Woodmatt 18mm MDF - 36x18,Black Woodmatt 21x 1mm,Black Woodmatt 21x 1mm,Black Woodmatt 21x 1mm,Black Woodmatt 21x 1mm,,604,,,X,
J01 - Kitchen,1.47,Base 1 Drawer,FN2 Black - STD,Shadow Rail,1,60,984,G PT Black Woodmatt 18mm MDF - 36x18,,,,,,608,,,X,
J01 - Kitchen,1.51,Base 1 Drawer,FN2 Black - STD,Bottom Drawer Front,1,981,384,G PT Black Woodmatt 18mm MDF - 36x18,Black Woodmatt 21x 1mm,Black Woodmatt 21x 1mm,Black Woodmatt 21x 1mm,Black Woodmatt 21x 1mm,,640,,,X,
J01 - Kitchen,1.51,Base 1 Drawer,FN2 Black - STD,Shadow Rail,1,60,984,G PT Black Woodmatt 18mm MDF - 36x18,,,,,,644,,,X,
