Item,Room Name,Description,Quantity,Width,Height,Depth,Comments,Specification Group,Work Order
1.01,J01 - Kitchen,Base 2 Drawer,1,"1,035",888,580,,FN2 Black - STD,testCS
1.02,J01 - Kitchen,Base 3 Drawer,1,452,888,580,,FN2 Black - STD,testCS
1.03,J01 - Kitchen,Pantry with 5 Inner Drawers,1,600,"2,700",580,,FN1 Prime Oak - STD,testCS
1.04,J01 - Kitchen,Upper 1 Door,1,488,"1,082",282,,FN2 Black - STD,testCS
1.05,J01 - Kitchen,Upper 1 Door,1,512,"1,082",282,,FN2 Black - STD,testCS
1.06,J01 - Kitchen,Upper 1 Door,1,488,"1,082",282,,FN2 Black - STD,testCS
1.07,J01 - Kitchen,Under Panel,1,"1,387",18,282,,FN2 Black - STD,testCS
1.08,J01 - Kitchen,Liftup Door Cabinet,1,940,800,580,,FN1 Prime Oak - STD,testCS
1.09,J01 - Kitchen,Base 1 Drawer Waste Bin,1,450,888,580,,FN1 Prime Oak - STD,testCS
1.10,J01 - Kitchen,Upper 1 Door,1,718,"1,082",350,,FN1 Prime Oak - STD,testCS
1.11,J01 - Kitchen,Under Panel,1,"2,874",18,350,,FN2 Black - STD,testCS
1.12,J01 - Kitchen,Base 2 Drawer,1,900,888,580,,FN1 Prime Oak - STD,testCS
1.13,J01 - Kitchen,Pantry with 5 Inner Drawers,1,600,"2,700",580,,FN1 Prime Oak - STD,testCS
1.14,J01 - Kitchen,Floating Shelf,1,330,18,370,,FN1 Prime Oak - STD,testCS
1.15,J01 - Kitchen,Floating Shelf,1,330,18,370,,FN1 Prime Oak - STD,testCS
1.16,J01 - Kitchen,Base 2 Drawer,1,900,888,580,,FN1 Prime Oak - STD,testCS
1.17,J01 - Kitchen,Base 2 Drawer,1,486,888,580,,FN1 Prime Oak - STD,testCS
1.18,J01 - Kitchen,Base 2 Drawer,1,486,888,580,,FN1 Prime Oak - STD,testCS
1.19,J01 - Kitchen,Upper 1 Door,1,718,"1,082",350,,FN1 Prime Oak - STD,testCS
1.20,J01 - Kitchen,Upper 1 Door,1,718,"1,082",350,,FN1 Prime Oak - STD,testCS
1.21,J01 - Kitchen,Upper 1 Door,1,718,"1,082",350,,FN1 Prime Oak - STD,testCS
1.22,J01 - Kitchen,Tall Wall Oven Full Box,1,600,"2,700",580,,FN1 Prime Oak - STD,testCS
